trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-194.97339344923145,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,3,-48.29269078906392,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-90.35625230787628,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-156.40735773582915,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-49.18495708760008,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,3,-61.95855865494332,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-176.95472391826218,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-64.11784314026478,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,10,-55.64589935231748,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-181.2236432740656,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,20,-24.05652622776367,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,14.175686222812214,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-100.26350213197807,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-126.10900805721829,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,1,-52.47568731430692,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-63.049327640463034,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-170.88943947823907,"{0: 27, 1: 1, 2: 2, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,3,-51.74677241381228,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,18.77882476743167,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-3.772842090784966,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-11.249552701475137,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,11,23.24232949324627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,6,19.411081815482355,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,9,-10.583456833109791,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,-27.84233190298318,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-9.522493165474916,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,18,12.17494829364347,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-7.906654474366702,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-59.27798743992382,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,3,-44.61567722522471,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 1}",1
