trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.033, 'e': 0.9900498337491681}",30,0,-135.34942932244903,"{0: 14, 1: 10, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.033, 'e': 0.9801986733067553}",25,0,-65.94779009512521,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
3,False,"{'a': 0.033, 'e': 0.9704455335485082}",25,0,-211.57090668193075,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
4,False,"{'a': 0.033, 'e': 0.9607894391523232}",30,0,-132.89343876899673,"{0: 15, 1: 3, 2: 11, 3: 1, 4: 0}",0
5,False,"{'a': 0.033, 'e': 0.951229424500714}",20,0,-112.25888195053953,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.033, 'e': 0.9417645335842487}",30,0,-148.48163875354763,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.033, 'e': 0.9323938199059483}",20,0,-94.47757457882915,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.033, 'e': 0.9231163463866358}",25,0,-243.97617052453072,"{0: 10, 1: 1, 2: 10, 3: 0, 4: 4}",0
9,False,"{'a': 0.033, 'e': 0.9139311852712282}",20,0,-93.3546420444368,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.033, 'e': 0.9048374180359595}",30,5,-124.39939169275445,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",1
11,False,"{'a': 0.033, 'e': 0.8958341352965282}",25,0,-104.42245217356475,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.033, 'e': 0.8869204367171575}",20,0,-102.70174979811742,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.033, 'e': 0.8780954309205613}",20,0,-126.9187192401024,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.033, 'e': 0.8693582353988059}",20,0,-91.62485909408844,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.033, 'e': 0.8607079764250578}",20,0,-153.33416346483205,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.033, 'e': 0.8521437889662113}",25,0,-166.70947584286867,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.033, 'e': 0.8436648165963837}",35,17,-50.58488175855301,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 0}",1
18,False,"{'a': 0.033, 'e': 0.835270211411272}",25,13,-83.08880780058166,"{0: 7, 1: 1, 2: 1, 3: 2, 4: 1}",1
19,False,"{'a': 0.033, 'e': 0.8269591339433623}",20,0,-51.03581993503757,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.033, 'e': 0.8187307530779818}",30,0,-160.99276506548546,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
21,False,"{'a': 0.033, 'e': 0.8105842459701871}",25,0,-154.65582720423322,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
22,False,"{'a': 0.033, 'e': 0.8025187979624785}",25,0,-98.39120159819709,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.033, 'e': 0.794533602503334}",20,0,-122.81870823582845,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
24,False,"{'a': 0.033, 'e': 0.7866278610665535}",20,7,-33.10391972411708,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
25,False,"{'a': 0.033, 'e': 0.7788007830714049}",20,0,-20.049593371213376,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.033, 'e': 0.7710515858035663}",20,0,-8.644522429835767,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.033, 'e': 0.7633794943368531}",25,0,-49.84738201073608,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 1}",0
28,False,"{'a': 0.033, 'e': 0.7557837414557255}",20,0,-72.53228389901898,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
