trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,12,-30.725285232245252,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.38170527443705,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-23.556127802110034,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.65336437626706,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.25636701681096,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.51130707754726,"{0: 9, 1: 5, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.82821600127222,"{0: 16, 1: 6, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.28431353967643,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.61254463729111,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.69800626042714,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.38534525198057,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.89042309092142,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,5,-81.31952638599405,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.53767667838582,"{0: 8, 1: 6, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.68972512781427,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-215.10851729040544,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.4452581382668,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,18,-8.4909981513376,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.90642915719035,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-166.34460350076378,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-106.74370233629523,"{0: 19, 1: 6, 2: 2, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-88.68876615816794,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-277.7683163494239,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,10,7.710297158235561,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.77733586718107,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,3,-192.531932712015,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 2}",1
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-186.72604254604585,"{0: 9, 1: 6, 2: 7, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-98.31284132158767,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,1,-85.43194795618068,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.40007371754466,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
